question;answer;tags
"What is the formula for the simple 2x2 Difference-in-Differences estimator?";"$\widehat{\delta}^{2\times 2}_{kU} = \bigg ( \overline{y}_k^{\text{post}(k)} - \overline{y}_k^{\text{pre}(k)} \bigg ) - \bigg ( \overline{y}_U^{\text{post}(k)} - \overline{y}_U^{\text{pre}(k)} \bigg )$";dd basic
"What is the parallel trends assumption in DD?";"The assumption that in absence of treatment, the difference between treatment and control groups would have remained constant over time. This is equivalent to saying the counterfactual trend would be parallel to the control group trend.";dd assumptions
"What are the three main methods to estimate standard errors in DD designs?";"1. Block bootstrapping standard errors<br>2. Aggregating data into pre/post periods (not recommended)<br>3. Clustering standard errors at group level";dd inference
"Why does clustering standard errors work better in DD?";"Clustering accounts for within-group correlation since observations within same group (e.g., state) are not independent. This leads to more accurate standard error estimates and reduces risk of overrejecting null hypothesis. In summary The issue here (when doing OLS directly on DnD, is that you have N· T data points, but they are not independent and identically distributed, since the same unit appears multiple times. In fact, the treatment is assigned to the unit, not to the time period, so you can argue that your sample size is actually just N, not N· T, even though this last one is what your regression will consider when computing standard errors. To correct the overly optimistic standard errors from your regression, you can cluster the standard errors by the unit (cities, in our example)";dd inference
"What is the Triple Differences (DDD) model and why use it?";"DDD introduces a third dimension (placebo group) to further isolate treatment effect by controlling for unobserved factors. If placebo group shows no changes, it strengthens argument that observed effects in treatment group are due to treatment itself.";dd advanced
"What is the main problem with Two-Way Fixed Effects (TWFE) in staggered adoption?";"TWFE has two main issues:<br>1. Problematic weighting of individual 2x2 comparisons<br>2. Uses past treated units as controls for future treated units, which is problematic with heterogeneous treatment effects over time";dd advanced
"How can we validate the parallel trends assumption?";"Three main methods:<br>1. Visual inspection of raw data<br>2. Placebo tests<br>3. Leads and lags model to check pre-treatment trends";dd assumptions
"What is the Bacon decomposition and why is it useful?";"The Bacon decomposition helps decompose treatment effect into components based on timing of treatment. Particularly useful in DiD with staggered treatment adoption to understand how different timing groups contribute to overall treatment effect.";dd advanced
"What is the interpretation of the ATT in a DD design?";"The Average Treatment Effect on the Treated (ATT) represents the average causal effect of the treatment on those who received it, comparing their actual outcomes to what would have happened in absence of treatment.";dd basic
"What is the leads and lags model in DD?";"A model that includes pre-treatment (leads) and post-treatment (lags) indicators to: <br>1. Validate parallel trends assumption through pre-treatment coefficients<br>2. Examine dynamic treatment effects through post-treatment coefficients.";dd advanced
"What is the key difference between DD and DDD designs?";"DD compares changes in treatment vs control groups over time, while DDD adds a third comparison group (often a placebo) to further control for time-varying confounders that might affect treatment and control groups differently.";dd basic
"What are the main threats to the validity of a DD design?";"Main threats include:<br>1. Violation of parallel trends<br>2. Anticipatory effects<br>3. Concurrent policies or events<br>4. Compositional changes in groups<br>5. Serial correlation in outcomes";dd assumptions
"Why might standard errors be biased in DD designs?";"Standard errors can be biased due to:<br>1. Serial correlation in outcomes<br>2. Within-group correlation<br>3. Small number of groups<br>4. Long time series";dd inference
"What is the role of event studies in DD?";"Event studies in DD:<br>1. Test parallel trends assumption<br>2. Examine dynamic treatment effects<br>3. Detect anticipatory effects<br>4. Identify treatment effect persistence";dd advanced
"What is treatment effect heterogeneity in DD?";"Treatment effect heterogeneity occurs when the impact of treatment varies across:<br>1. Different groups<br>2. Different time periods<br>3. Different contexts<br>This can bias TWFE estimates in staggered adoption designs.";dd advanced
"What are the advantages of using regression in DD versus simple means?";"Regression in DD allows:<br>1. Control for time-varying covariates<br>2. Improve precision of estimates<br>3. Test multiple hypotheses<br>4. Handle multiple treatment periods<br>5. Account for individual fixed effects";dd basic
"How does selective migration affect DD estimates?";"Selective migration can bias DD estimates by:<br>1. Changing group composition over time<br>2. Creating endogenous treatment status<br>3. Violating stable unit treatment value assumption (SUTVA)<br>4. Contaminating control groups";dd assumptions
"What is the relationship between strict exogeneity and parallel trends?";"The parallel trends assumption is a restatement of strict exogeneity. Both require that treatment assignment is not endogenous to potential outcomes - meaning the treatment group would not have diverged from control even in absence of treatment.";dd advanced
"How does the Bacon decomposition reveal issues with TWFE timing weights?";"The decomposition shows TWFE weights 2x2 comparisons based on variance of treatment timing, giving more weight to middle-period treatments. This is problematic because:<br>1. Results can change by adding/removing years<br>2. No theoretical justification for middle-period emphasis<br>3. Creates bias when treatment effects are heterogeneous";dd advanced
"What is the identification challenge in the 'late to early 2x2' problem?";"When using already-treated units as controls for later-treated units:<br>1. Dynamic treatment effects can contaminate the control group<br>2. Treatment effect estimates become biased if effects evolve over time<br>3. The bias can be severe enough to flip signs of estimates<br>4. The problem persists in both event studies and static TWFE";dd advanced
"How do staggered treatment timing and treatment effect dynamics interact?";"The interaction creates bias through:<br>1. Already-treated units serving as inappropriate controls<br>2. Time-varying treatment effects being incorrectly weighted<br>3. Violation of the constant treatment effects assumption<br>4. Contamination of pre-trends tests";dd advanced
"What role does treatment effect anticipation play in DD identification?";"Anticipation effects can:<br>1. Violate parallel trends by affecting pre-treatment behavior<br>2. Contaminate the pre-treatment period as a baseline<br>3. Lead to incorrect inference about treatment timing<br>4. Require adjustment of the effective treatment date";dd advanced
"How does cross-sectional dependence affect DD inference?";"Cross-sectional dependence impacts DD through:<br>1. Violation of independence assumptions<br>2. Spillover effects between units<br>3. Common shocks affecting multiple units<br>4. Need for spatial clustering or network-robust standard errors";dd advanced
"What are the implications of non-random treatment timing?";"Non-random timing affects DD by:<br>1. Creating selection into treatment periods<br>2. Violating parallel trends across cohorts<br>3. Inducing correlation between treatment timing and potential outcomes<br>4. Requiring modeling of treatment adoption process";dd advanced
"How do DD estimands change with heterogeneous treatment effects?";"Heterogeneous effects impact DD estimands by:<br>1. Making ATT interpretation cohort-specific<br>2. Creating weighted averages of group-time effects<br>3. Potentially producing negative weights in TWFE<br>4. Requiring careful interpretation of average effects";dd advanced
"What role do pre-trends play in assessing treatment effect dynamics?";"Pre-trends analysis reveals:<br>1. Validity of parallel trends assumption<br>2. Presence of anticipatory effects<br>3. Treatment adoption patterns<br>4. But can't definitively prove parallel trends will hold post-treatment";dd advanced
"How does selective attrition interact with DD identification?";"Selective attrition affects DD through:<br>1. Changes in sample composition over time<br>2. Differential exit rates between treatment/control<br>3. Creation of unbalanced panels<br>4. Potential violation of parallel trends if attrition is treatment-related";dd advanced
